energy-kcal_100g,energy_100g,fat_100g,carbohydrates_100g,proteins_100g
309.73451327434,1296.0,0.0,75.221238938053,4.4247787610619
263.66666666666663,1145.8,13.870165092795588,24.54866666666666,22.400666666666663
80.0,335.0,2.21,3.54,10.62
571.0,2389.0,42.86,25.0,25.0
150.0,628.0,7.96,0.0,18.58
267.5,1119.0,7.5,42.5,7.5
180.9667673716,757.0,9.3655589123867,6.0422960725076,18.126888217523
433.0,1812.0,13.33,73.33,6.67
30.120481927711,126.0,0.0,4.8192771084337,2.4096385542169
329.21447484554,1377.0,9.7087378640777,56.48720211827,4.4130626654898
88.0,368.0,0.0,22.12,0.0
150.0,628.0,7.94,13.2,6.47
351.85185185185,1472.0,1.8518518518519,72.222222222222,9.2592592592593
600.0,2510.0,48.0,44.0,4.0
250.0,1050.0,16.1,17.9,14.3
42.0,176.0,0.0,9.8,0.8
309.8592,1296.0,0.0,75.3521,2.8169
164.0,686.0,2.5,15.0,20.0
31.0,130.0,0.0,7.5,0.0
343.75,1438.0,10.9375,34.375,34.375
158.98,1041.8,3.7,22.018448275862,11.588
0.0,0.0,0.0,0.0,0.0
98.765432098765,413.0,0.0,23.456790123457,0.0
520.0,2176.0,28.0,64.0,4.0
378.298498498498,1441.6,8.06666,44.2069562165634,6.7258095238096
133.0,556.0,4.0,12.0,10.67
367.0,1536.0,26.67,26.67,0.0
395.0,1653.0,4.65,76.74,9.3
166.66666666667,697.0,0.0,16.666666666667,33.333333333333
40.0,167.0,0.14,9.51,0.42
240.0,1004.0,0.0,65.0,0.0
196.3294117647058,1185.8,7.1399999777476,9.36096254777144,302.35999998092655
91.954022988506,385.0,0.0,25.287356321839,0.0
625.0,2615.0,50.0,18.75,21.88
222.0,928.0,16.7,0.0,16.7
62.5,262.0,0.0,12.5,6.25
263.0,1100.0,0.0,52.63,0.0
244.0,1020.0,15.6,8.89,17.8
62.5,262.0,2.0833333333333,5.4166666666667,5.4166666666667
428.57142857143,1793.0,7.1428571428571,71.428571428571,14.285714285714
379.0,1586.0,0.0,82.76,6.9
500.0,2092.0,0.0,100.0,0.0
167.0,699.0,5.0,26.67,5.0
304.0,1272.0,4.0,14.0,30.0
127.0,530.0,4.37,18.8,3.06
24.0,100.0,0.0,4.71,2.35
142.85714285714,598.0,3.5714285714286,2.3809523809524,23.809523809524
357.0,1494.0,28.57,3.57,21.43
19.0,79.0,0.0,3.08,0.77
61.0,255.0,0.68,14.86,1.35
466.0,1950.0,20.69,62.07,3.45
64.0,268.0,1.2,7.2,1.6
263.66666666666663,1145.8,13.870165092795588,24.54866666666666,22.400666666666663
59.0,247.0,0.0,14.12,1.18
500.0,2092.0,33.333333333333,56.666666666667,6.6666666666667
500.0,2092.0,0.0,100.0,0.0
